x_val,y_val,z_val
1.18,11.3,-0.9942854
1.57,15.24,1.1168685
4.6,14.41,5.47538
0.89,12.79,10.310603
0.8,15.75,0.14982383
2.03,8.81,-3.718355
1.23,10.61,4.3312707
0.19,7.67,1.0760075
1.27,3.83,1.9477097
0.76,3.6,1.56634
0.31,1.92,2.4516625
0.89,1.69,3.3778462
1.99,6.93,12.9529505
4.86,15.05,1.1849703
0.31,5.48,3.1054392
2.03,11.5,2.0294318
1.73,11.6,1.5390993
1.99,8.54,1.6480621
1.57,7.67,2.070293
2.72,8.43,1.4982382
2.34,8.92,1.5390993
2.15,9.15,1.920469
1.54,10.27,0.23154591
0.76,12.72,0.7218784
3.53,13.21,-1.9885708
3.53,13.21,-1.9885708
3.53,13.21,-1.9885708
3.53,13.21,-1.9885708
1.08,9.51,-1.1849703
0.42,10.76,3.336985
0.04,6.36,0.7627395
0.84,4.67,2.2609777
0.84,4.14,2.1792557
0.99,2.07,3.1054392
1.31,0.95,3.405087
0.19,7.12,12.680544
6.78,16.28,1.9885708
0.15,5.48,3.568531
1.27,10.46,1.4165162
2.3,11.69,1.879608
2.79,8.2,2.4108016
1.88,7.97,1.7570249
2.34,8.58,1.1441092
2.11,8.96,1.1849703
1.46,9.08,1.879608
0.99,10.46,0.84446156
1.57,11.65,0.6946377
3.6,14.29,1.6889231
2.15,13.91,3.759216
0.57,12.11,6.8237944
2.56,13.29,3.214402
1.92,10.08,-0.27240697
1.14,10.27,3.336985
0.42,8.54,2.3426998
1.18,6.55,2.0294318
0.38,4.14,2.5333846
0.69,2.6,1.920469
0.89,1.38,2.6832085
1.54,1.08,4.2904096
4.94,9.62,15.935807
5.41,9.11,2.982856
0.69,8.54,6.4424243
-0.72,10.34,3.173541
1.88,8.43,0.6946377
2.79,10.19,1.607201
2.49,8.5,0.8036005
2.3,10.42,1.2666923
3.68,8.85,1.4982382
2.18,8.85,0.27240697
0.34,9.43,0.27240697
-0.08,9.51,-0.27240697
0.61,9.62,0.5720546
1.61,10.04,0.95342433
3.72,9.77,-0.3405087
5.13,11.5,-1.7570249
2.64,12.53,4.1814466
-0.95,12.57,6.0474343
-7.46,14.63,0.23154591
-4.63,12.91,-1.1168685
2.11,11.75,1.56634
0.84,7.44,0.38136974
-1.04,5.63,0.313268
0.84,5.18,-0.040861044
1.92,4.14,1.56634
3.91,4.14,3.1463003
7.82,12.76,7.164303
5.63,12.26,7.43671
-3.41,15.64,5.325556
-3.83,8.01,-0.040861044
-1.14,9.53,-3.173541
0.27,11.73,-4.140586
1.33,9.15,-0.5720546
2.79,10.69,0.46309182
5.56,10.23,-0.53119355
4.02,9.11,2.4925237
0.08,9.96,1.7297841
1.23,9.43,-0.6537767
2.72,8.85,0.3405087
1.04,11.35,-0.53119355
2.11,13.29,-0.6537767
3.53,16.17,2.8738933
2.6,12.76,5.938472
0.89,12.26,4.7535014
