x_val,y_val,z_val
6.97,4.94,5.706926
2.53,13.8,-0.9942854
-6.24,8.31,-1.7297841
-3.41,8.73,-4.862464
1.69,15.24,-3.214402
7.7,11.73,-1.525479
5.28,5.98,-1.4982382
2.96,7.97,-0.84446156
0.8,9.08,-1.4982382
1.73,9.43,2.5333846
6.47,9.66,-0.88532263
7.93,10.69,-2.7240696
7.27,13.53,1.3075534
6.85,11.18,5.325556
-2.03,17.92,-5.175732
0,16.04,1.4982382
5.86,12.57,-1.525479
0.04,5.83,-2.8738933
-2.98,5.13,-1.3075534
-3.83,3.17,-1.9885708
-0.23,3.26,1.607201
11.5,7.82,8.076866
15.66,16.78,9.425281
2.34,3.17,2.3018389
4.63,15.94,-0.61291564
-6.24,6.24,-3.336985
-1.99,12.98,-3.3642259
1.57,11.88,-2.8330324
6.97,10.76,-1.334794
5.18,6.63,-2.6014864
2.68,7.93,-0.3405087
1.12,9.28,0.95342433
3.53,9.19,0.88532263
7.25,9.96,-3.255263
7.46,12.53,0.50395286
7.63,12.07,5.706926
5.52,11.88,1.3756552
-2.79,18.85,-6.5513873
2.79,16.82,3.5957718
3.87,8.85,-2.7921712
-1.27,4.71,-1.9885708
-2.96,4.99,-2.1792557
-3.17,2.68,-0.50395286
4.63,4.21,4.440233
14.71,14.79,11.34575
9.04,6.74,5.175732
0.53,10.53,-0.6946377
1.65,13.33,-0.3405087
-3.21,8.05,-4.7535014
-0.15,12.64,-1.7570249
3.57,11.99,-2.4516625
6.32,7.59,-0.46309182
3.41,7.4,-1.6480621
1.18,9.04,-1.9477097
1.73,9.51,3.336985
5.98,9.38,-0.95342433
8.01,10.8,-2.8330324
7.4,13.53,1.4573772
6.32,11.35,5.6660647
-0.53,17.01,-3.5957718
-1.04,15.94,0.040861044
5.71,12.57,-0.23154591
1.18,6.74,-2.6832085
-2.53,5.83,-1.3756552
-3.49,3.76,-1.8387469
-1.46,3.21,1.1849703
8.89,6.44,6.238119
17.88,17.67,9.697687
3.95,2.64,2.3018389
2.87,16.36,1.6480621
-4.59,6.4,-4.1814466
-2.87,12.37,-3.718355
1.08,12.37,-2.3699405
6.02,10.99,-2.4516625
5.52,6.17,-1.2666923
2.53,8.31,-1.56634
0.95,9.15,0.53119355
2.76,9.38,1.0760075
7.4,10.65,-1.9477097
7.35,11.56,-0.19068487
6.51,12.83,4.6036777
5.98,10.8,1.9477097
-3.26,18.31,-6.1700177
1.38,15.4,4.4810944
5.48,10.34,-2.6423476
-0.38,6.28,-1.8387469
-2.98,5.37,-1.1849703
-2.98,2.96,-0.95342433
1.23,4.1,2.8330324
13.02,9.77,8.539958
13.48,14.29,7.6273947
2.03,4.21,0.14982383
3.41,15.66,1.3756552
-5.18,7.35,-3.8273177
-2.53,11.8,-3.8273177
2.68,12.41,-2.4516625
6.89,10,-0.38136974
4.21,6.78,-2.0294318
2.3,8.39,-1.0760075
0.89,9.15,1.1849703
4.14,9.81,1.6480621
7.86,9.89,-3.0237172
7.4,12.68,1.334794
8.16,11.03,5.706926
1.46,15.94,-1.9885708
-2.18,16.32,-1.7297841
4.14,14.75,0.3405087
3.11,8.24,-2.3699405
-1.92,5.41,-1.1168685
-3.11,3.95,-1.607201
-2.3,2.6,0.23154591
6.28,5.41,5.5162406
18.5,16.86,10.310603
6.02,1.73,3.255263
6.02,1.73,3.255263
6.02,1.73,3.255263
-1.57,12.53,-3.8681788
3.91,13.44,-3.0237172
6.36,6.78,-0.08172209
2.98,8.01,-1.334794
